"Date","Match","Result","Score","Competition"
"05 Sep 1984","Algeria v Argentina","D","0-0","Merdeka Tournament"
"05 Jun 2007","Argentina v Algeria","L","4-3","International Friendly"
"31 May 2014","Algeria v Armenia","W","3-1","International Friendly"
"21 Jun 1982","Algeria v Austria","L","0-2","FIFA World Cup"
"10 Jul 1988","Algeria v Bahrain","D","0-0","Arab Cup"
"19 May 1992","Bahrain v Algeria","D","0-0","International Friendly"
"14 May 2002","Belgium v Algeria","D","0-0","International Friendly"
"12 Feb 2003","Algeria v Belgium","L","1-3","International Friendly"
"17 Jun 2014","Belgium v Algeria","L","2-1","FIFA World Cup"
"14 Nov 2012","Algeria v Bosnia and Herzegovina","L","0-1","International Friendly"
"17 Jun 1965","Algeria v Brazil","L","0-3","International Friendly"
"03 Jun 1973","Algeria v Brazil","L","0-2","International Friendly"
"06 Jun 1986","Brazil v Algeria","L","1-0","FIFA World Cup"
"22 Aug 2007","Brazil v Algeria","L","2-0","International Friendly"
"06 Jan 1963","Algeria v Bulgaria","W","2-1","International Friendly"
"11 Jan 1977","Algeria v Bulgaria","D","1-1","International Friendly"
"07 Aug 1983","Algeria v Bulgaria","L","2-3","International Friendly"
"05 Jun 1998","Bulgaria v Algeria","L","2-0","International Friendly"
"05 Nov 1998","Bulgaria v Algeria","D","0-0","International Friendly"
"14 Nov 2000","Algeria v Bulgaria","L","1-2","International Friendly"
"14 Mar 1984","Cameroon v Algeria","L","0-0","Africa Cup of Nations"
"14 Mar 1986","Cameroon v Algeria","L","3-2","Africa Cup of Nations"
"15 Feb 1991","Cameroon v Algeria","L","0-0","Afrique Foot"
"28 Nov 1995","Algeria v Cameroon","W","4-0","Belier Africa Tournament"
"15 Feb 1998","Cameroon v Algeria","L","2-1","Africa Cup of Nations"
"06 Feb 2000","Cameroon v Algeria","L","2-1","Africa Cup of Nations"
"25 Jan 2004","Algeria v Cameroon","D","1-1","Africa Cup of Nations"
"09 Oct 2016","Algeria v Cameroon","D","1-1","FIFA World Cup"
"16 Oct 1984","Algeria v Canada","W","1-0","International Friendly"
"30 Jul 1982","China PR v Algeria","L","3-0","Great Wall"
"30 Aug 1984","China PR v Algeria","D","1-1","Merdeka Tournament"
"28 Apr 2004","Algeria v China PR","L","0-1","International Friendly"
"09 Jun 1974","Algeria v Cuba","L","0-1","International Friendly"
"26 Feb 1963","Algeria v Czechoslovakia","L","0-2","A v OT"
"28 Feb 1963","Algeria v Czechoslovakia","W","4-0","A v OT"
"12 Feb 1989","Algeria v Denmark","D","0-0","Rothmans Tournament"
"22 Mar 1964","Egypt v Algeria","D","2-2","International Friendly"
"19 Sep 1969","Egypt v Algeria","L","1-0","Africa Cup of Nations"
"28 Sep 1969","Algeria v Egypt","D","1-1","Africa Cup of Nations"
"01 Oct 1974","Algeria v Egypt","L","1-3","Arab Cup, Damascus"
"29 Aug 1975","Algeria v Egypt","W","1-0","Mediterranean Games"
"13 Jul 1978","Algeria v Egypt","D","1-1","African Games"
"19 Mar 1980","Algeria v Egypt","W","2-2","Africa Cup of Nations"
"31 Jul 1983","Egypt v Algeria","L","1-0","Palestine Cup"
"17 Mar 1984","Algeria v Egypt","W","3-1","Africa Cup of Nations"
"08 Oct 1989","Algeria v Egypt","D","0-0","FIFA World Cup"
"17 Nov 1989","Egypt v Algeria","L","1-0","FIFA World Cup"
"08 Mar 1990","Algeria v Egypt","W","2-0","Africa Cup of Nations"
"08 Jan 1995","Algeria v Egypt","W","1-0","Africa Cup of Nations"
"14 Jul 1995","Egypt v Algeria","D","1-1","Africa Cup of Nations"
"20 Dec 1997","Egypt v Algeria","W","1-2","International Friendly"
"24 Dec 1997","Egypt v Algeria","W","1-2","International Friendly"
"11 Mar 2001","Egypt v Algeria","L","5-2","FIFA World Cup"
"21 Jul 2001","Algeria v Egypt","D","1-1","FIFA World Cup"
"29 Jan 2004","Algeria v Egypt","W","2-1","Africa Cup of Nations"
"07 Jun 2009","Algeria v Egypt","W","3-1","FIFA World Cup"
"14 Nov 2009","Egypt v Algeria","L","2-0","FIFA World Cup"
"18 Nov 2009","Algeria v Egypt","W","1-0","FIFA World Cup"
"28 Jan 2010","Algeria v Egypt","L","0-4","Africa Cup of Nations"
"11 Dec 1990","Algeria v England","D","0-0","A v B"
"18 Jun 2010","England v Algeria","D","0-0","FIFA World Cup"
"08 Feb 1989","Algeria v Finland","W","2-0","Rothmans Tournament"
"07 Sep 1967","Algeria v France","L","1-3","Mediterranean Games"
"24 Aug 1975","Algeria v France","W","2-0","Mediterranean Games"
"06 Sep 1975","Algeria v France","W","3-2","Mediterranean Games"
"21 Sep 1979","Algeria v France","D","1-1","Mediterranean Games"
"15 Sep 1987","Algeria v France","W","4-0","Mediterranean Games"
"06 Oct 2001","France v Algeria","L","4-1","International Friendly"
"01 Jan 1964","Algeria v West Germany","W","2-0","International Friendly"
"16 Jun 1982","Algeria v Germany","W","2-1","FIFA World Cup"
"30 Jun 2014","Germany v Algeria","L","2-1","FIFA World Cup"
"12 Jan 1973","Ghana v Algeria","L","2-0","African Games"
"26 Jul 1978","Algeria v Ghana","W","2-0","African Games"
"09 Mar 1980","Ghana v Algeria","D","0-0","Africa Cup of Nations"
"16 Mar 1982","Ghana v Algeria","L","3-2","Africa Cup of Nations"
"30 Sep 1983","Algeria v Ghana","W","1-0","Merdeka Tournament"
"08 Mar 1984","Ghana v Algeria","W","0-2","Africa Cup of Nations"
"28 Jul 1984","Algeria v Ghana","D","1-1","International Friendly"
"28 Dec 1984","Ghana v Algeria","L","2-1","International Friendly"
"20 Dec 1992","Ghana v Algeria","L","2-0","FIFA World Cup"
"26 Feb 1993","Algeria v Ghana","W","2-1","FIFA World Cup"
"05 Dec 2001","Algeria v Ghana","D","1-1","International Friendly"
"23 Jan 2015","Ghana v Algeria","L","1-0","Africa Cup of Nations"
"26 Aug 1975","Algeria v Greece","W","5-0","Mediterranean Games"
"29 Sep 1979","Algeria v Greece","W","2-1","Mediterranean Games"
"17 Sep 1987","Greece v Algeria","L","1-0","Mediterranean Games"
"13 Jul 1983","Hong Kong v Algeria","L","1-0","Great Wall Cup"
"28 Dec 1963","Algeria v Hungary","L","0-3","A v OT"
"16 Aug 1967","Hungary v Algeria","L","7-0","U v A"
"11 Dec 1985","Hungary v Algeria","L","3-1","Four Team Tournament, Mexico"
"30 Jun 1981","Algeria v Iran","W","1-0","International Friendly"
"27 Sep 1991","Iran v Algeria","L","2-1","Afro-Asian Cup of Nations"
"13 Oct 1991","Algeria v Iran","W","1-0","Afro-Asian Cup of Nations"
"15 Aug 1973","Algeria v Iraq","D","0-0","Palestine Cup"
"25 Aug 1973","Algeria v Iraq","W","0-0","Palestine Cup"
"22 Feb 1978","Iraq v Algeria","L","3-0","International Friendly"
"23 Feb 1978","Iraq v Algeria","L","1-0","International Friendly"
"02 Jul 1978","Algeria v Iraq","D","1-1","International Friendly"
"31 Jul 1983","Iraq v Algeria","L","4-2","Palestine Cup"
"09 Sep 1967","Algeria v Italy","L","0-2","Mediterranean Games"
"11 Nov 1989","Italy v Algeria","L","1-0","International Friendly"
"19 Jul 1965","Ivory Coast v Algeria","L","1-0","African Games"
"25 Jul 1965","Algeria v Ivory Coast","L","0-1","African Games"
"27 Jul 1965","Ivory Coast v Algeria","W","0-1","African Games"
"18 Nov 1965","Ivory Coast v Algeria","D","1-1","International Friendly"
"12 Jan 1968","Ivory Coast v Algeria","L","3-0","Africa Cup of Nations"
"23 Aug 1983","Algeria v Ivory Coast","W","3-0","International Friendly"
"01 Jan 1985","Ivory Coast v Algeria","D","1-1","International Friendly"
"11 Dec 1986","Algeria v Ivory Coast","W","2-1","International Friendly"
"14 Dec 1986","Algeria v Ivory Coast","W","2-1","International Friendly"
"13 Mar 1988","Algeria v Ivory Coast","D","1-1","Africa Cup of Nations"
"11 Jun 1989","Ivory Coast v Algeria","D","0-0","FIFA World Cup"
"25 Aug 1989","Algeria v Ivory Coast","W","1-0","FIFA World Cup"
"05 Mar 1990","Algeria v Ivory Coast","W","3-0","Africa Cup of Nations"
"13 Jan 1992","Algeria v Ivory Coast","L","0-3","Africa Cup of Nations"
"16 Apr 1993","Algeria v Ivory Coast","D","1-1","FIFA World Cup"
"18 Jul 1993","Ivory Coast v Algeria","L","1-0","FIFA World Cup"
"26 Nov 1995","Ivory Coast v Algeria","D","0-0","Belier Africa Tournament"
"02 Dec 1995","Ivory Coast v Algeria","L","0-0","Belier Africa Tournament"
"06 Oct 1996","Algeria v Ivory Coast","W","4-1","Africa Cup of Nations"
"22 Jun 1997","Ivory Coast v Algeria","L","2-1","Africa Cup of Nations"
"24 Jan 2010","Ivory Coast v Algeria","W","2-3","Africa Cup of Nations"
"30 Jan 2013","Algeria v Ivory Coast","D","2-2","Africa Cup of Nations"
"01 Feb 2015","Ivory Coast v Algeria","L","3-1","Africa Cup of Nations"
"30 Jan 1985","Korea Republic v Algeria","L","3-1","Nehru Cup"
"13 Dec 1985","Korea Republic v Algeria","L","2-0","Four Team Tournament, Mexico"
"22 Jun 2014","Korea Republic v Algeria","W","2-4","FIFA World Cup"
"07 Dec 1985","Mexico v Algeria","L","2-0","Four Team Tournament, Mexico"
"28 Feb 1963","Algeria v Morocco","L","0-4","International Friendly"
"31 Oct 1965","Algeria v Morocco","D","0-0","International Friendly"
"28 Feb 1966","Morocco v Algeria","L","1-0","International Friendly"
"24 Nov 1966","Algeria v Morocco","D","2-2","International Friendly"
"15 Dec 1966","Morocco v Algeria","D","2-2","International Friendly"
"31 Jan 1967","Morocco v Algeria","D","0-0","International Friendly"
"31 Aug 1967","Algeria v Morocco","W","3-1","Mediterranean Games"
"17 Mar 1968","Morocco v Algeria","D","0-0","International Friendly"
"09 Mar 1969","Algeria v Morocco","W","2-0","Africa Cup of Nations"
"23 Mar 1969","Morocco v Algeria","L","1-0","Africa Cup of Nations"
"01 Nov 1969","Algeria v Morocco","W","1-0","International Friendly"
"10 Dec 1970","Algeria v Morocco","W","3-1","Africa Cup of Nations"
"27 Dec 1970","Morocco v Algeria","L","3-0","Africa Cup of Nations"
"31 Oct 1973","Algeria v Morocco","W","2-1","International Friendly"
"07 Apr 1974","Morocco v Algeria","L","2-0","International Friendly"
"05 Oct 1974","Algeria v Morocco","L","0-1","Arab Cup, Damascus"
"13 Mar 1980","Algeria v Morocco","W","1-0","Africa Cup of Nations"
"27 Jul 1982","Algeria v Morocco","L","0-1","Great Wall"
"21 Jan 1985","Morocco v Algeria","L","4-0","Nehru Cup"
"13 Aug 1985","Morocco v Algeria","L","1-0","Pan Arab Games"
"08 Mar 1986","Algeria v Morocco","D","0-0","Africa Cup of Nations"
"19 Sep 1987","Morocco v Algeria","L","2-1","Mediterranean Games"
"16 Mar 1988","Morocco v Algeria","L","1-0","Africa Cup of Nations"
"26 Mar 1988","Morocco v Algeria","D","1-1","Africa Cup of Nations"
"22 Mar 1989","Algeria v Morocco","D","1-1","International Friendly"
"24 May 1989","Morocco v Algeria","L","1-0","International Friendly"
"03 Apr 1991","Algeria v Morocco","D","2-2","International Friendly"
"26 Dec 1991","Morocco v Algeria","D","1-1","International Friendly"
"22 Sep 1993","Morocco v Algeria","D","0-0","International Friendly"
"09 Jul 2000","Morocco v Algeria","L","2-1","FIFA World Cup"
"04 May 2001","Algeria v Morocco","L","1-2","FIFA World Cup"
"08 Feb 2004","Morocco v Algeria","L","3-1","Africa Cup of Nations"
"27 Mar 2011","Algeria v Morocco","W","1-0","Africa Cup of Nations"
"04 Jun 2011","Morocco v Algeria","L","4-0","Africa Cup of Nations"
"03 Jun 1986","Algeria v Northern Ireland","D","1-1","FIFA World Cup"
"27 May 1996","Oman v Algeria","W","0-1","International Friendly"
"29 May 1996","Oman v Algeria","W","0-1","International Friendly"
"29 Aug 1998","Oman v Algeria","D","0-0","International Friendly"
"31 Aug 1998","Oman v Algeria","L","2-0","International Friendly"
"30 Mar 2015","Oman v Algeria","W","1-4","International Friendly"
"25 Apr 1982","Algeria v Peru","D","1-1","International Friendly"
"28 Apr 1982","Algeria v Republic of Ireland","W","2-0","International Friendly"
"28 May 2010","Republic of Ireland v Algeria","L","3-0","International Friendly"
"11 Oct 1964","Algeria v Romania","D","0-0","A v B"
"11 Oct 1964","Algeria v Romania","W","1-0","A v Under-23"
"07 Feb 1984","Algeria v Romania","D","1-1","International Friendly"
"04 Feb 1990","Algeria v Romania","D","0-0","International Friendly"
"05 Dec 2000","Algeria v Romania","W","3-2","International Friendly"
"08 Dec 2000","Algeria v Romania","L","2-3","International Friendly"
"04 Jun 2014","Algeria v Romania","W","2-1","International Friendly"
"21 Feb 1984","Saudi Arabia v Algeria","L","4-2","International Friendly"
"09 Aug 1985","Saudi Arabia v Algeria","L","3-1","Pan Arab Games"
"17 Feb 1986","Saudi Arabia v Algeria","D","0-0","International Friendly"
"22 Feb 1986","Saudi Arabia v Algeria","D","1-1","International Friendly"
"25 Sep 1998","Saudi Arabia v Algeria","L","3-0","Arab Cup"
"03 Mar 2010","Algeria v Serbia","L","0-3","International Friendly"
"27 Feb 2001","Algeria v Slovakia","D","1-1","International Friendly"
"27 Jan 1996","South Africa v Algeria","L","2-1","Africa Cup of Nations"
"02 Feb 2000","South Africa v Algeria","D","1-1","Africa Cup of Nations"
"12 Jan 2013","South Africa v Algeria","D","0-0","International Friendly"
"19 Jan 2015","Algeria v South Africa","W","3-1","Africa Cup of Nations"
"12 Jun 1986","Spain v Algeria","L","3-0","FIFA World Cup"
"19 May 1975","Sweden v Algeria","L","4-0","International Friendly"
"08 Mar 1976","Algeria v Sweden","L","0-2","International Friendly"
"31 May 1989","Sweden v Algeria","L","2-0","International Friendly"
"11 Apr 1990","Algeria v Sweden","D","1-1","International Friendly"
"30 Nov 1983","Algeria v Switzerland","L","1-2","International Friendly"
"06 May 1986","Switzerland v Algeria","L","2-0","International Friendly"
"13 Nov 1932","Tunisia v Algeria","L","1-0","International Friendly"
"13 Nov 1933","Algeria v Tunisia","L","0-3","International Friendly"
"11 Nov 1934","Algeria v Tunisia","D","2-2","International Friendly"
"10 Nov 1935","Algeria v Tunisia","L","2-4","International Friendly"
"03 May 1958","Tunisia v Algeria","W","1-5","International Friendly"
"11 May 1958","Tunisia v Algeria","W","1-5","International Friendly"
"03 Oct 1959","Tunisia v Algeria","W","0-8","International Friendly"
"15 Dec 1963","Tunisia v Algeria","D","0-0","International Friendly"
"27 Dec 1964","Algeria v Tunisia","W","1-0","African Games"
"14 Mar 1965","Tunisia v Algeria","D","0-0","African Games"
"17 Nov 1968","Algeria v Tunisia","L","1-2","FIFA World Cup"
"29 Dec 1968","Tunisia v Algeria","D","0-0","FIFA World Cup"
"16 Nov 1972","Tunisia v Algeria","W","1-2","International Friendly"
"12 May 1974","Algeria v Tunisia","L","1-2","International Friendly"
"03 Oct 1974","Tunisia v Algeria","L","1-0","Arab Cup, Damascus"
"23 Mar 1975","Tunisia v Algeria","D","1-1","International Friendly"
"06 Apr 1975","Tunisia v Algeria","D","1-1","Africa Cup of Nations"
"04 Sep 1975","Algeria v Tunisia","W","2-1","Mediterranean Games"
"04 Nov 1976","Tunisia v Algeria","L","3-0","International Friendly"
"06 Feb 1977","Tunisia v Algeria","L","2-0","FIFA World Cup"
"28 Feb 1977","Algeria v Tunisia","D","1-1","FIFA World Cup"
"23 Sep 1979","Algeria v Tunisia","D","1-1","Mediterranean Games"
"07 Feb 1982","Tunisia v Algeria","W","0-1","International Friendly"
"12 Dec 1982","Tunisia v Algeria","W","0-1","International Friendly"
"19 Dec 1982","Tunisia v Algeria","W","0-1","International Friendly"
"11 Sep 1983","Tunisia v Algeria","L","3-2","Mediterranean Games"
"30 Dec 1984","Algeria v Tunisia","W","3-1","International Friendly"
"01 May 1985","Tunisia v Algeria","L","1-0","International Friendly"
"06 Oct 1985","Tunisia v Algeria","W","1-4","FIFA World Cup"
"18 Oct 1985","Algeria v Tunisia","W","3-0","FIFA World Cup"
"04 Jan 1987","Algeria v Tunisia","W","2-0","International Friendly"
"11 Jan 1987","Tunisia v Algeria","W","0-2","International Friendly"
"27 Mar 1987","Algeria v Tunisia","W","1-0","Africa Cup of Nations"
"12 Apr 1987","Tunisia v Algeria","D","1-1","Africa Cup of Nations"
"11 Dec 1987","Algeria v Tunisia","D","0-0","Arab NC"
"05 Nov 1988","Tunisia v Algeria","D","1-1","International Friendly"
"04 Apr 1989","Algeria v Tunisia","W","2-0","International Friendly"
"01 Nov 1989","Tunisia v Algeria","D","0-0","International Friendly"
"05 Mar 1991","Algeria v Tunisia","W","2-1","International Friendly"
"07 Apr 1991","Tunisia v Algeria","D","0-0","International Friendly"
"23 Sep 1992","Tunisia v Algeria","D","1-1","International Friendly"
"16 Dec 1994","Tunisia v Algeria","L","1-0","International Friendly"
"22 Jul 1995","Algeria v Tunisia","W","2-1","International Friendly"
"05 Nov 1995","Tunisia v Algeria","L","2-0","7 November Tournament"
"04 Jan 1997","Tunisia v Algeria","D","0-0","International Friendly"
"31 May 1997","Tunisia v Algeria","W","0-1","International Friendly"
"24 Jan 1999","Algeria v Tunisia","L","0-1","Africa Cup of Nations"
"06 Jun 1999","Tunisia v Algeria","L","2-0","Africa Cup of Nations"
"28 Jun 2000","Tunisia v Algeria","D","2-2","International Friendly"
"12 Nov 2011","Algeria v Tunisia","W","1-0","International Friendly"
"22 Jan 2013","Tunisia v Algeria","L","1-0","Africa Cup of Nations"
"04 Oct 1972","Algeria v Turkey","W","1-0","International Friendly"
"14 Feb 1973","Turkey v Algeria","L","4-0","International Friendly"
"28 Feb 1979","Turkey v Algeria","W","0-1","International Friendly"
"25 Sep 1979","Turkey v Algeria","W","0-1","Mediterranean Games"
"13 Sep 1983","Algeria v Turkey","W","1-0","Mediterranean Games"
"13 Aug 1973","Algeria v United Arab Emirates","W","2-0","Palestine Cup"
"05 Aug 1985","United Arab Emirates v Algeria","L","1-0","Pan Arab Games"
"27 Nov 1988","United Arab Emirates v Algeria","L","2-0","International Friendly"
"24 Nov 1992","Algeria v United Arab Emirates","D","0-0","International Friendly"
"20 Aug 2008","Algeria v United Arab Emirates","W","1-0","International Friendly"
"04 Jun 2010","Algeria v United Arab Emirates","W","1-0","International Friendly"
"05 Jun 2010","Algeria v United Arab Emirates","W","1-0","International Friendly"
"12 Aug 2009","Algeria v Uruguay","W","1-0","International Friendly"
"23 Jun 2010","USA v Algeria","L","1-0","FIFA World Cup"
"04 Nov 1964","Algeria v USSR","D","2-2","International Friendly"
"05 Nov 1964","Algeria v USSR","D","2-2","A v B"
"19 Dec 1965","Algeria v USSR","L","0-1","*"
"20 Nov 1966","Algeria v USSR","L","0-3","*"
"31 Oct 1963","Algeria v Yugoslavia","D","1-1","A v Under-23"
"26 Feb 1974","Algeria v Yugoslavia","L","0-1","A v OT"
"24 Feb 1976","Algeria v Yugoslavia","L","1-2","International Friendly"
"27 Sep 1979","Yugoslavia v Algeria","L","3-2","Mediterranean Games"
"12 Jun 1977","Algeria v Zambia","W","2-0","Africa Cup of Nations"
"26 Jun 1977","Zambia v Algeria","L","2-0","Africa Cup of Nations"
"28 Oct 1978","Zambia v Algeria","W","0-3","International Friendly"
"07 Mar 1982","Zambia v Algeria","W","0-1","Africa Cup of Nations"
"18 Mar 1982","Algeria v Zambia","L","0-2","Africa Cup of Nations"
"13 Jul 1985","Algeria v Zambia","W","2-0","FIFA World Cup"
"28 Jul 1985","Zambia v Algeria","W","0-1","FIFA World Cup"
"11 Mar 1986","Zambia v Algeria","D","0-0","Africa Cup of Nations"
"14 Jan 1996","Zambia v Algeria","D","0-0","Africa Cup of Nations"
"30 Sep 1997","Zambia v Algeria","D","0-0","Tournament"
"20 Jun 2009","Zambia v Algeria","W","0-2","FIFA World Cup"
"06 Sep 2009","Algeria v Zambia","W","1-0","FIFA World Cup"
"05 Jun 2007","Argentina v Algeria","W","4-3","International Friendly"
"14 Jul 1988","Australia v Argentina","L","4-1","Bicentennial Gold Cup"
"18 Jun 1992","Argentina v Australia","W","2-0","International Friendly"
"31 Oct 1993","Australia v Argentina","D","1-1","FIFA World Cup"
"17 Nov 1993","Argentina v Australia","W","1-0","FIFA World Cup"
"30 Jun 1995","Argentina v Australia","W","2-0","International Friendly"
"18 Jun 2005","Australia v Argentina","W","2-4","FIFA Confederations Cup"
"11 Sep 2007","Australia v Argentina","W","0-1","International Friendly"
"25 Jun 1966","Austria v Argentina","L","1-0","*"
"21 May 1980","Austria v Argentina","W","1-5","International Friendly"
"03 May 1990","Austria v Argentina","D","1-1","International Friendly"
"13 Jun 1982","Argentina v Belgium","L","0-1","FIFA World Cup"
"05 Sep 1984","Belgium v Argentina","W","0-2","International Friendly"
"25 Jun 1986","Argentina v Belgium","W","2-0","FIFA World Cup"
"05 Jul 2014","Argentina v Belgium","W","1-0","FIFA World Cup"
"16 Oct 1926","Argentina v Bolivia","W","5-0","Copa America"
"30 Oct 1927","Argentina v Bolivia","W","7-1","Copa America"
"18 Jan 1945","Argentina v Bolivia","W","4-0","Copa America"
"19 Jan 1946","Argentina v Bolivia","W","7-1","Copa America"
"04 Dec 1947","Argentina v Bolivia","W","7-0","Copa America"
"06 Oct 1957","Bolivia v Argentina","L","2-0","FIFA World Cup"
"27 Oct 1957","Argentina v Bolivia","W","4-0","FIFA World Cup"
"11 Mar 1959","Argentina v Bolivia","W","2-0","Copa America"
"28 Mar 1963","Bolivia v Argentina","L","3-2","Copa America"
"17 Aug 1965","Argentina v Bolivia","W","4-1","FIFA World Cup"
"29 Aug 1965","Bolivia v Argentina","W","1-2","FIFA World Cup"
"22 Jan 1967","Argentina v Bolivia","W","1-0","Copa America"
"27 Jul 1969","Bolivia v Argentina","L","3-1","FIFA World Cup"
"24 Aug 1969","Argentina v Bolivia","W","1-0","FIFA World Cup"
"09 Sep 1973","Argentina v Bolivia","W","4-0","FIFA World Cup"
"23 Sep 1973","Bolivia v Argentina","W","0-1","FIFA World Cup"
"20 Jun 1975","Bolivia v Argentina","W","1-2","Copa Cornelio Saavedra"
"27 Jun 1975","Argentina v Bolivia","W","2-1","International Friendly"
"18 Jul 1979","Bolivia v Argentina","L","2-1","Copa America"
"08 Aug 1979","Argentina v Bolivia","W","3-0","Copa America"
"10 Jul 1989","Argentina v Bolivia","D","0-0","Copa America"
"17 Jun 1993","Argentina v Bolivia","W","1-0","Copa America"
"08 Jul 1995","Argentina v Bolivia","W","2-1","Copa America"
"24 Apr 1996","Argentina v Bolivia","W","3-1","FIFA World Cup"
"02 Apr 1997","Bolivia v Argentina","L","2-1","FIFA World Cup"
"04 Jun 2000","Argentina v Bolivia","W","1-0","FIFA World Cup"
"25 Apr 2001","Bolivia v Argentina","D","3-3","FIFA World Cup"
"15 Nov 2003","Argentina v Bolivia","W","3-0","FIFA World Cup"
"26 Mar 2005","Bolivia v Argentina","W","1-2","FIFA World Cup"
"17 Nov 2007","Argentina v Bolivia","W","3-0","FIFA World Cup"
"01 Apr 2009","Bolivia v Argentina","L","6-1","FIFA World Cup"
"01 Jul 2011","Argentina v Bolivia","D","1-1","Copa America"
"11 Nov 2011","Argentina v Bolivia","D","1-1","FIFA World Cup"
"26 Mar 2013","Bolivia v Argentina","D","1-1","FIFA World Cup"
"06 Jun 2015","Argentina v Bolivia","W","5-0","International Friendly"
"04 Sep 2015","Argentina v Bolivia","W","7-0","International Friendly"
"29 Mar 2016","Argentina v Bolivia","W","2-0","FIFA World Cup"
"14 Jun 2016","Bolivia v Argentina","W","0-3","Copa America"
"14 May 1998","Argentina v Bosnia and Herzegovina","W","5-0","International Friendly"
"18 Nov 2013","Argentina v Bosnia and Herzegovina","W","2-0","International Friendly"
"15 Jun 2014","Argentina v Bosnia and Herzegovina","W","2-1","FIFA World Cup"
"22 Aug 1912","Argentina v Brazil","W","4-0","Copa Premio Honor Argentino"
"20 Sep 1914","Argentina v Brazil","W","3-0","International Friendly"
"27 Sep 1914","Argentina v Brazil","L","0-1","Copa Julio Roca"
"10 Jul 1916","Argentina v Brazil","D","1-1","Copa America"
"27 Sep 1916","Argentina v Brazil","L","0-1","Copa Julio Roca"
"03 Oct 1917","Argentina v Brazil","W","4-2","Copa America"
"18 May 1919","Brazil v Argentina","L","3-1","Copa America"
"01 Jun 1919","Brazil v Argentina","D","3-3","Copa Roberto Cherry"
"25 Sep 1920","Brazil v Argentina","W","0-2","Copa America"
"12 Oct 1920","Argentina v Brazil","W","3-1","International Friendly"
"02 Oct 1921","Argentina v Brazil","W","1-0","Copa America"
"15 Oct 1922","Brazil v Argentina","L","2-0","Copa America"
"22 Oct 1922","Brazil v Argentina","L","2-1","Copa Julio Roca"
"18 Nov 1923","Argentina v Brazil","W","2-1","Copa America"
"02 Dec 1923","Argentina v Brazil","L","0-2","Copa Confraternidad"
"09 Dec 1923","Argentina v Brazil","W","2-0","Copa Julio Roca"
"13 Dec 1925","Argentina v Brazil","W","4-1","Copa America"
"25 Dec 1925","Argentina v Brazil","D","2-2","Copa America"
"30 Jan 1937","Argentina v Brazil","W","1-0","Copa America"
"01 Feb 1937","Argentina v Brazil","W","2-0","Copa America"
"15 Jan 1939","Brazil v Argentina","W","1-5","Copa Julio Roca"
"22 Jan 1939","Brazil v Argentina","L","3-2","Copa Julio Roca"
"18 Feb 1940","Brazil v Argentina","D","2-2","Copa Julio Roca"
"25 Feb 1940","Brazil v Argentina","W","0-3","Copa Julio Roca"
"05 Mar 1940","Argentina v Brazil","W","6-1","Copa Julio Roca"
"10 Mar 1940","Argentina v Brazil","L","2-3","Copa Julio Roca"
"17 Mar 1940","Argentina v Brazil","W","5-1","Copa Julio Roca"
"17 Jan 1942","Argentina v Brazil","W","2-1","Copa America"
"15 Feb 1945","Argentina v Brazil","W","3-1","Copa America"
"16 Dec 1945","Brazil v Argentina","W","3-4","Copa Julio Roca"
"20 Dec 1945","Brazil v Argentina","L","6-2","Copa Julio Roca"
"23 Dec 1945","Brazil v Argentina","L","3-1","Copa Julio Roca"
"10 Feb 1946","Argentina v Brazil","W","2-0","Copa America"
"05 Feb 1956","Brazil v Argentina","L","1-0","Copa America"
"18 Mar 1956","Brazil v Argentina","D","2-2","Panamerican Championship"
"08 Jul 1956","Argentina v Brazil","D","0-0","Copa del Atlantico"
"05 Dec 1956","Brazil v Argentina","W","1-2","International Friendly"
"03 Apr 1957","Argentina v Brazil","W","3-0","Copa America"
"07 Jul 1957","Brazil v Argentina","W","1-2","Copa Julio Roca"
"10 Jul 1957","Brazil v Argentina","L","2-0","Copa Julio Roca"
"04 Apr 1959","Argentina v Brazil","D","1-1","Copa America"
"22 Dec 1959","Argentina v Brazil","W","4-1","Copa America"
"13 Mar 1960","Argentina v Brazil","W","2-1","Panamerican Championship"
"20 Mar 1960","Brazil v Argentina","L","1-0","Panamerican Championship"
"25 May 1960","Argentina v Brazil","W","4-2","Copa Julio Roca"
"29 May 1960","Argentina v Brazil","L","1-4","Copa Julio Roca"
"12 Jul 1960","Brazil v Argentina","L","5-1","Copa del Atlantico"
"03 Feb 1962","Brazil v Argentina","D","0-0","SA NOVOS"
"24 Mar 1963","Argentina v Brazil","W","3-0","Copa America"
"13 Apr 1963","Brazil v Argentina","W","2-3","Copa Julio Roca"
"16 Apr 1963","Brazil v Argentina","L","5-2","Copa Julio Roca"
"03 Jun 1964","Brazil v Argentina","W","0-3","Copa das Nacoes"
"07 Sep 1964","Brazil v Argentina","L","3-0","International Friendly"
"09 Jun 1965","Brazil v Argentina","D","0-0","International Friendly"
"07 Aug 1968","Brazil v Argentina","L","4-1","International Friendly"
"11 Aug 1968","Brazil v Argentina","L","3-2","International Friendly"
"04 Mar 1970","Brazil v Argentina","W","0-2","International Friendly"
"08 Mar 1970","Brazil v Argentina","L","2-1","International Friendly"
"28 Jul 1971","Argentina v Brazil","D","1-1","Copa Julio Roca"
