player_id,year,position,rating,pace,shoot,pass,dribble,defend,physical
33884,2010,CM,68,67 ,58 ,67 ,65 ,68 ,61 
15239,2010,LB,75,76 ,61 ,72 ,62 ,73 ,63 
38376,2010,LB,75,80 ,56 ,69 ,71 ,72 ,64 
9447,2010,CDM,79,74 ,75 ,78 ,75 ,77 ,71 
8974,2010,RB,73,75 ,42 ,71 ,74 ,71 ,64 
22989,2010,CB,77,76 ,40 ,52 ,45 ,80 ,86 
4949,2010,RW,69,93 ,58 ,55 ,67 ,50 ,54 
2316,2010,RB,80,75 ,59 ,78 ,80 ,79 ,74 
26613,2010,LM,69,76 ,64 ,62 ,70 ,60 ,58 
8418,2010,CM,67,66 ,62 ,64 ,61 ,64 ,64 
9327,2010,CAM,81,89 ,76 ,82 ,87 ,59 ,54 
28975,2010,RB,77,81 ,56 ,74 ,68 ,75 ,66 
18128,2010,CDM,80,76 ,69 ,81 ,74 ,79 ,86 
9597,2010,CF,78,83 ,75 ,60 ,75 ,59 ,77 
15234,2010,CM,67,65 ,55 ,68 ,65 ,65 ,52 
22160,2010,ST,65,71 ,62 ,45 ,58 ,53 ,65 
5823,2010,RW,74,81 ,67 ,66 ,80 ,50 ,61 
11501,2010,ST,65,61 ,66 ,62 ,56 ,57 ,61 
9113,2010,ST,76,76 ,74 ,58 ,76 ,52 ,68 
15500,2010,CM,65,72 ,60 ,60 ,57 ,59 ,58 
29194,2010,CB,68,65 ,34 ,56 ,43 ,70 ,74 
5803,2010,RF,75,80 ,69 ,69 ,75 ,52 ,64 
16631,2010,RM,71,73 ,71 ,68 ,72 ,58 ,54 
4832,2010,ST,86,87 ,82 ,68 ,88 ,66 ,78 
30301,2010,CM,67,63 ,63 ,67 ,62 ,62 ,47 
10437,2010,CB,68,64 ,33 ,42 ,43 ,71 ,80 
21310,2010,LWB,67,65 ,58 ,62 ,58 ,65 ,60 
29631,2010,CDM,57,57 ,42 ,49 ,48 ,77 ,78 
9686,2010,RM,60,59 ,67 ,57 ,63 ,48 ,45 
15235,2010,RB,73,74 ,56 ,62 ,75 ,70 ,65 
