Date,Match,Result,Score,Competition
1984-09-05,Algeria v Argentina,D,0-0,Merdeka Tournament
2007-06-05,Argentina v Algeria,L,4-3,International Friendly
2014-05-31,Algeria v Armenia,W,3-1,International Friendly
1982-06-21,Algeria v Austria,L,0-2,FIFA World Cup
1988-07-10,Algeria v Bahrain,D,0-0,Arab Cup
1992-05-19,Bahrain v Algeria,D,0-0,International Friendly
2002-05-14,Belgium v Algeria,D,0-0,International Friendly
2003-02-12,Algeria v Belgium,L,1-3,International Friendly
2014-06-17,Belgium v Algeria,L,2-1,FIFA World Cup
2012-11-14,Algeria v Bosnia and Herzegovina,L,0-1,International Friendly
1965-06-17,Algeria v Brazil,L,0-3,International Friendly
1973-06-03,Algeria v Brazil,L,0-2,International Friendly
1986-06-06,Brazil v Algeria,L,1-0,FIFA World Cup
2007-08-22,Brazil v Algeria,L,2-0,International Friendly
1963-01-06,Algeria v Bulgaria,W,2-1,International Friendly
1977-01-11,Algeria v Bulgaria,D,1-1,International Friendly
1983-08-07,Algeria v Bulgaria,L,2-3,International Friendly
1998-06-05,Bulgaria v Algeria,L,2-0,International Friendly
1998-11-05,Bulgaria v Algeria,D,0-0,International Friendly
2000-11-14,Algeria v Bulgaria,L,1-2,International Friendly
1984-03-14,Cameroon v Algeria,L,0-0,Africa Cup of Nations
1986-03-14,Cameroon v Algeria,L,3-2,Africa Cup of Nations
1991-02-15,Cameroon v Algeria,L,0-0,Afrique Foot
1995-11-28,Algeria v Cameroon,W,4-0,Belier Africa Tournament
1998-02-15,Cameroon v Algeria,L,2-1,Africa Cup of Nations
2000-02-06,Cameroon v Algeria,L,2-1,Africa Cup of Nations
2004-01-25,Algeria v Cameroon,D,1-1,Africa Cup of Nations
2016-10-09,Algeria v Cameroon,D,1-1,FIFA World Cup
1984-10-16,Algeria v Canada,W,1-0,International Friendly
1982-07-30,China PR v Algeria,L,3-0,Great Wall
1984-08-30,China PR v Algeria,D,1-1,Merdeka Tournament
2004-04-28,Algeria v China PR,L,0-1,International Friendly
1974-06-09,Algeria v Cuba,L,0-1,International Friendly
1963-02-26,Algeria v Czech Republic,L,0-2,A v OT
1963-02-28,Algeria v Czech Republic,W,4-0,A v OT
1989-02-12,Algeria v Denmark,D,0-0,Rothmans Tournament
1964-03-22,Egypt v Algeria,D,2-2,International Friendly
1969-09-19,Egypt v Algeria,L,1-0,Africa Cup of Nations
1969-09-28,Algeria v Egypt,D,1-1,Africa Cup of Nations
1974-10-01,Algeria v Egypt,L,1-3,"Arab Cup, Damascus"
1975-08-29,Algeria v Egypt,W,1-0,Mediterranean Games
1978-07-13,Algeria v Egypt,D,1-1,African Games
1980-03-19,Algeria v Egypt,W,2-2,Africa Cup of Nations
1983-07-31,Egypt v Algeria,L,1-0,Palestine Cup
1984-03-17,Algeria v Egypt,W,3-1,Africa Cup of Nations
1989-10-08,Algeria v Egypt,D,0-0,FIFA World Cup
1989-11-17,Egypt v Algeria,L,1-0,FIFA World Cup
1990-03-08,Algeria v Egypt,W,2-0,Africa Cup of Nations
1995-01-08,Algeria v Egypt,W,1-0,Africa Cup of Nations
1995-07-14,Egypt v Algeria,D,1-1,Africa Cup of Nations
1997-12-20,Egypt v Algeria,W,1-2,International Friendly
1997-12-24,Egypt v Algeria,W,1-2,International Friendly
2001-03-11,Egypt v Algeria,L,5-2,FIFA World Cup
2001-07-21,Algeria v Egypt,D,1-1,FIFA World Cup
2004-01-29,Algeria v Egypt,W,2-1,Africa Cup of Nations
2009-06-07,Algeria v Egypt,W,3-1,FIFA World Cup
2009-11-14,Egypt v Algeria,L,2-0,FIFA World Cup
2009-11-18,Algeria v Egypt,W,1-0,FIFA World Cup
2010-01-28,Algeria v Egypt,L,0-4,Africa Cup of Nations
1990-12-11,Algeria v England,D,0-0,A v B
2010-06-18,England v Algeria,D,0-0,FIFA World Cup
1989-02-08,Algeria v Finland,W,2-0,Rothmans Tournament
1967-09-07,Algeria v France,L,1-3,Mediterranean Games
1975-08-24,Algeria v France,W,2-0,Mediterranean Games
1975-09-06,Algeria v France,W,3-2,Mediterranean Games
1979-09-21,Algeria v France,D,1-1,Mediterranean Games
1987-09-15,Algeria v France,W,4-0,Mediterranean Games
2001-10-06,France v Algeria,L,4-1,International Friendly
1964-01-01,Algeria v Germany,W,2-0,International Friendly
1982-06-16,Algeria v Germany,W,2-1,FIFA World Cup
2014-06-30,Germany v Algeria,L,2-1,FIFA World Cup
1973-01-12,Ghana v Algeria,L,2-0,African Games
1978-07-26,Algeria v Ghana,W,2-0,African Games
1980-03-09,Ghana v Algeria,D,0-0,Africa Cup of Nations
1982-03-16,Ghana v Algeria,L,3-2,Africa Cup of Nations
1983-09-30,Algeria v Ghana,W,1-0,Merdeka Tournament
1984-03-08,Ghana v Algeria,W,0-2,Africa Cup of Nations
1984-07-28,Algeria v Ghana,D,1-1,International Friendly
1984-12-28,Ghana v Algeria,L,2-1,International Friendly
1992-12-20,Ghana v Algeria,L,2-0,FIFA World Cup
1993-02-26,Algeria v Ghana,W,2-1,FIFA World Cup
2001-12-05,Algeria v Ghana,D,1-1,International Friendly
2015-01-23,Ghana v Algeria,L,1-0,Africa Cup of Nations
1975-08-26,Algeria v Greece,W,5-0,Mediterranean Games
1979-09-29,Algeria v Greece,W,2-1,Mediterranean Games
1987-09-17,Greece v Algeria,L,1-0,Mediterranean Games
1983-07-13,Hong Kong v Algeria,L,1-0,Great Wall Cup
1963-12-28,Algeria v Hungary,L,0-3,A v OT
1967-08-16,Hungary v Algeria,L,7-0,U v A
1985-12-11,Hungary v Algeria,L,3-1,"Four Team Tournament, Mexico"
1981-06-30,Algeria v Iran,W,1-0,International Friendly
1991-09-27,Iran v Algeria,L,2-1,Afro-Asian Cup of Nations
1991-10-13,Algeria v Iran,W,1-0,Afro-Asian Cup of Nations
1973-08-15,Algeria v Iraq,D,0-0,Palestine Cup
1973-08-25,Algeria v Iraq,W,0-0,Palestine Cup
1978-02-22,Iraq v Algeria,L,3-0,International Friendly
1978-02-23,Iraq v Algeria,L,1-0,International Friendly
1978-07-02,Algeria v Iraq,D,1-1,International Friendly
1967-09-09,Algeria v Italy,L,0-2,Mediterranean Games
1989-11-11,Italy v Algeria,L,1-0,International Friendly
1965-07-19,Ivory Coast v Algeria,L,1-0,African Games
1965-07-25,Algeria v Ivory Coast,L,0-1,African Games
1965-07-27,Ivory Coast v Algeria,W,0-1,African Games
1965-11-18,Ivory Coast v Algeria,D,1-1,International Friendly
1968-01-12,Ivory Coast v Algeria,L,3-0,Africa Cup of Nations
1983-08-23,Algeria v Ivory Coast,W,3-0,International Friendly
1985-01-01,Ivory Coast v Algeria,D,1-1,International Friendly
1986-12-11,Algeria v Ivory Coast,W,2-1,International Friendly
1986-12-14,Algeria v Ivory Coast,W,2-1,International Friendly
1988-03-13,Algeria v Ivory Coast,D,1-1,Africa Cup of Nations
1989-06-11,Ivory Coast v Algeria,D,0-0,FIFA World Cup
1989-08-25,Algeria v Ivory Coast,W,1-0,FIFA World Cup
1990-03-05,Algeria v Ivory Coast,W,3-0,Africa Cup of Nations
1992-01-13,Algeria v Ivory Coast,L,0-3,Africa Cup of Nations
1993-04-16,Algeria v Ivory Coast,D,1-1,FIFA World Cup
1993-07-18,Ivory Coast v Algeria,L,1-0,FIFA World Cup
1995-11-26,Ivory Coast v Algeria,D,0-0,Belier Africa Tournament
1995-12-02,Ivory Coast v Algeria,L,0-0,Belier Africa Tournament
1996-10-06,Algeria v Ivory Coast,W,4-1,Africa Cup of Nations
1997-06-22,Ivory Coast v Algeria,L,2-1,Africa Cup of Nations
2010-01-24,Ivory Coast v Algeria,W,2-3,Africa Cup of Nations
2013-01-30,Algeria v Ivory Coast,D,2-2,Africa Cup of Nations
2015-02-01,Ivory Coast v Algeria,L,3-1,Africa Cup of Nations
1985-01-30,Korea Republic v Algeria,L,3-1,Nehru Cup
1985-12-13,Korea Republic v Algeria,L,2-0,"Four Team Tournament, Mexico"
2014-06-22,Korea Republic v Algeria,W,2-4,FIFA World Cup
1985-12-07,Mexico v Algeria,L,2-0,"Four Team Tournament, Mexico"
1965-10-31,Algeria v Morocco,D,0-0,International Friendly
1966-02-28,Morocco v Algeria,L,1-0,International Friendly
1966-11-24,Algeria v Morocco,D,2-2,International Friendly
1966-12-15,Morocco v Algeria,D,2-2,International Friendly
1967-01-31,Morocco v Algeria,D,0-0,International Friendly
1967-08-31,Algeria v Morocco,W,3-1,Mediterranean Games
1968-03-17,Morocco v Algeria,D,0-0,International Friendly
1969-03-09,Algeria v Morocco,W,2-0,Africa Cup of Nations
1969-03-23,Morocco v Algeria,L,1-0,Africa Cup of Nations
1969-11-01,Algeria v Morocco,W,1-0,International Friendly
1970-12-10,Algeria v Morocco,W,3-1,Africa Cup of Nations
1970-12-27,Morocco v Algeria,L,3-0,Africa Cup of Nations
1973-10-31,Algeria v Morocco,W,2-1,International Friendly
1974-04-07,Morocco v Algeria,L,2-0,International Friendly
1974-10-05,Algeria v Morocco,L,0-1,"Arab Cup, Damascus"
1980-03-13,Algeria v Morocco,W,1-0,Africa Cup of Nations
1982-07-27,Algeria v Morocco,L,0-1,Great Wall
1985-01-21,Morocco v Algeria,L,4-0,Nehru Cup
1985-08-13,Morocco v Algeria,L,1-0,Pan Arab Games
1986-03-08,Algeria v Morocco,D,0-0,Africa Cup of Nations
1987-09-19,Morocco v Algeria,L,2-1,Mediterranean Games
1988-03-16,Morocco v Algeria,L,1-0,Africa Cup of Nations
1988-03-26,Morocco v Algeria,D,1-1,Africa Cup of Nations
1989-03-22,Algeria v Morocco,D,1-1,International Friendly
1989-05-24,Morocco v Algeria,L,1-0,International Friendly
1991-04-03,Algeria v Morocco,D,2-2,International Friendly
1991-12-26,Morocco v Algeria,D,1-1,International Friendly
1993-09-22,Morocco v Algeria,D,0-0,International Friendly
2000-07-09,Morocco v Algeria,L,2-1,FIFA World Cup
2001-05-04,Algeria v Morocco,L,1-2,FIFA World Cup
2004-02-08,Morocco v Algeria,L,3-1,Africa Cup of Nations
2011-03-27,Algeria v Morocco,W,1-0,Africa Cup of Nations
2011-06-04,Morocco v Algeria,L,4-0,Africa Cup of Nations
1986-06-03,Algeria v Northern Ireland,D,1-1,FIFA World Cup
1996-05-27,Oman v Algeria,W,0-1,International Friendly
1996-05-29,Oman v Algeria,W,0-1,International Friendly
1998-08-29,Oman v Algeria,D,0-0,International Friendly
1998-08-31,Oman v Algeria,L,2-0,International Friendly
2015-03-30,Oman v Algeria,W,1-4,International Friendly
1982-04-25,Algeria v Peru,D,1-1,International Friendly
1982-04-28,Algeria v Republic of Ireland,W,2-0,International Friendly
2010-05-28,Republic of Ireland v Algeria,L,3-0,International Friendly
1964-10-11,Algeria v Romania,D,0-0,A v B
1984-02-07,Algeria v Romania,D,1-1,International Friendly
1990-02-04,Algeria v Romania,D,0-0,International Friendly
2000-12-05,Algeria v Romania,W,3-2,International Friendly
2000-12-08,Algeria v Romania,L,2-3,International Friendly
2014-06-04,Algeria v Romania,W,2-1,International Friendly
1984-02-21,Saudi Arabia v Algeria,L,4-2,International Friendly
1985-08-09,Saudi Arabia v Algeria,L,3-1,Pan Arab Games
1986-02-17,Saudi Arabia v Algeria,D,0-0,International Friendly
1986-02-22,Saudi Arabia v Algeria,D,1-1,International Friendly
1998-09-25,Saudi Arabia v Algeria,L,3-0,Arab Cup
2010-03-03,Algeria v Serbia,L,0-3,International Friendly
2001-02-27,Algeria v Slovakia,D,1-1,International Friendly
1996-01-27,South Africa v Algeria,L,2-1,Africa Cup of Nations
2000-02-02,South Africa v Algeria,D,1-1,Africa Cup of Nations
2013-01-12,South Africa v Algeria,D,0-0,International Friendly
2015-01-19,Algeria v South Africa,W,3-1,Africa Cup of Nations
1986-06-12,Spain v Algeria,L,3-0,FIFA World Cup
1975-05-19,Sweden v Algeria,L,4-0,International Friendly
1976-03-08,Algeria v Sweden,L,0-2,International Friendly
1989-05-31,Sweden v Algeria,L,2-0,International Friendly
1990-04-11,Algeria v Sweden,D,1-1,International Friendly
1983-11-30,Algeria v Switzerland,L,1-2,International Friendly
1986-05-06,Switzerland v Algeria,L,2-0,International Friendly
1932-11-13,Tunisia v Algeria,L,1-0,International Friendly
1933-11-13,Algeria v Tunisia,L,0-3,International Friendly
1934-11-11,Algeria v Tunisia,D,2-2,International Friendly
1935-11-10,Algeria v Tunisia,L,2-4,International Friendly
1958-05-03,Tunisia v Algeria,W,1-5,International Friendly
1958-05-11,Tunisia v Algeria,W,1-5,International Friendly
1959-10-03,Tunisia v Algeria,W,0-8,International Friendly
1963-12-15,Tunisia v Algeria,D,0-0,International Friendly
1964-12-27,Algeria v Tunisia,W,1-0,African Games
1965-03-14,Tunisia v Algeria,D,0-0,African Games
1968-11-17,Algeria v Tunisia,L,1-2,FIFA World Cup
1968-12-29,Tunisia v Algeria,D,0-0,FIFA World Cup
1972-11-16,Tunisia v Algeria,W,1-2,International Friendly
1974-05-12,Algeria v Tunisia,L,1-2,International Friendly
1974-10-03,Tunisia v Algeria,L,1-0,"Arab Cup, Damascus"
1975-03-23,Tunisia v Algeria,D,1-1,International Friendly
1975-04-06,Tunisia v Algeria,D,1-1,Africa Cup of Nations
1975-09-04,Algeria v Tunisia,W,2-1,Mediterranean Games
1976-11-04,Tunisia v Algeria,L,3-0,International Friendly
1977-02-06,Tunisia v Algeria,L,2-0,FIFA World Cup
1977-02-28,Algeria v Tunisia,D,1-1,FIFA World Cup
1979-09-23,Algeria v Tunisia,D,1-1,Mediterranean Games
1982-02-07,Tunisia v Algeria,W,0-1,International Friendly
1982-12-12,Tunisia v Algeria,W,0-1,International Friendly
1982-12-19,Tunisia v Algeria,W,0-1,International Friendly
1983-09-11,Tunisia v Algeria,L,3-2,Mediterranean Games
1984-12-30,Algeria v Tunisia,W,3-1,International Friendly
1985-05-01,Tunisia v Algeria,L,1-0,International Friendly
1985-10-06,Tunisia v Algeria,W,1-4,FIFA World Cup
1985-10-18,Algeria v Tunisia,W,3-0,FIFA World Cup
1987-01-04,Algeria v Tunisia,W,2-0,International Friendly
1987-01-11,Tunisia v Algeria,W,0-2,International Friendly
1987-03-27,Algeria v Tunisia,W,1-0,Africa Cup of Nations
1987-04-12,Tunisia v Algeria,D,1-1,Africa Cup of Nations
1987-12-11,Algeria v Tunisia,D,0-0,Arab NC
1988-11-05,Tunisia v Algeria,D,1-1,International Friendly
1989-04-04,Algeria v Tunisia,W,2-0,International Friendly
1989-11-01,Tunisia v Algeria,D,0-0,International Friendly
1991-03-05,Algeria v Tunisia,W,2-1,International Friendly
1991-04-07,Tunisia v Algeria,D,0-0,International Friendly
1992-09-23,Tunisia v Algeria,D,1-1,International Friendly
1994-12-16,Tunisia v Algeria,L,1-0,International Friendly
1995-07-22,Algeria v Tunisia,W,2-1,International Friendly
1995-11-05,Tunisia v Algeria,L,2-0,7 November Tournament
1997-01-04,Tunisia v Algeria,D,0-0,International Friendly
1997-05-31,Tunisia v Algeria,W,0-1,International Friendly
1999-01-24,Algeria v Tunisia,L,0-1,Africa Cup of Nations
1999-06-06,Tunisia v Algeria,L,2-0,Africa Cup of Nations
2000-06-28,Tunisia v Algeria,D,2-2,International Friendly
2011-11-12,Algeria v Tunisia,W,1-0,International Friendly
2013-01-22,Tunisia v Algeria,L,1-0,Africa Cup of Nations
1972-10-04,Algeria v Turkey,W,1-0,International Friendly
1973-02-14,Turkey v Algeria,L,4-0,International Friendly
1979-02-28,Turkey v Algeria,W,0-1,International Friendly
1979-09-25,Turkey v Algeria,W,0-1,Mediterranean Games
1983-09-13,Algeria v Turkey,W,1-0,Mediterranean Games
1973-08-13,Algeria v United Arab Emirates,W,2-0,Palestine Cup
1985-08-05,United Arab Emirates v Algeria,L,1-0,Pan Arab Games
1988-11-27,United Arab Emirates v Algeria,L,2-0,International Friendly
1992-11-24,Algeria v United Arab Emirates,D,0-0,International Friendly
2008-08-20,Algeria v United Arab Emirates,W,1-0,International Friendly
2010-06-04,Algeria v United Arab Emirates,W,1-0,International Friendly
2010-06-05,Algeria v United Arab Emirates,W,1-0,International Friendly
2009-08-12,Algeria v Uruguay,W,1-0,International Friendly
2010-06-23,USA v Algeria,L,1-0,FIFA World Cup
1964-11-04,Algeria v Russia,D,2-2,International Friendly
1964-11-05,Algeria v Russia,D,2-2,A v B
1965-12-19,Algeria v Russia,L,0-1,*
1966-11-20,Algeria v Russia,L,0-3,*
1963-10-31,Algeria v Yugoslavia,D,1-1,A v Under-23
1974-02-26,Algeria v Yugoslavia,L,0-1,A v OT
1976-02-24,Algeria v Yugoslavia,L,1-2,International Friendly
1979-09-27,Yugoslavia v Algeria,L,3-2,Mediterranean Games
1977-06-12,Algeria v Zambia,W,2-0,Africa Cup of Nations
1977-06-26,Zambia v Algeria,L,2-0,Africa Cup of Nations
1978-10-28,Zambia v Algeria,W,0-3,International Friendly
1982-03-07,Zambia v Algeria,W,0-1,Africa Cup of Nations
1982-03-18,Algeria v Zambia,L,0-2,Africa Cup of Nations
1985-07-13,Algeria v Zambia,W,2-0,FIFA World Cup
1985-07-28,Zambia v Algeria,W,0-1,FIFA World Cup
1986-03-11,Zambia v Algeria,D,0-0,Africa Cup of Nations
1996-01-14,Zambia v Algeria,D,0-0,Africa Cup of Nations
1997-09-30,Zambia v Algeria,D,0-0,Tournament
2009-06-20,Zambia v Algeria,W,0-2,FIFA World Cup
2009-09-06,Algeria v Zambia,W,1-0,FIFA World Cup
1988-07-14,Australia v Argentina,L,4-1,Bicentennial Gold Cup
1992-06-18,Argentina v Australia,W,2-0,International Friendly
1993-10-31,Australia v Argentina,D,1-1,FIFA World Cup
1993-11-17,Argentina v Australia,W,1-0,FIFA World Cup
1995-06-30,Argentina v Australia,W,2-0,International Friendly
2005-06-18,Australia v Argentina,W,2-4,FIFA Confederations Cup
2007-09-11,Australia v Argentina,W,0-1,International Friendly
1966-06-25,Austria v Argentina,L,1-0,*
1980-05-21,Austria v Argentina,W,1-5,International Friendly
1990-05-03,Austria v Argentina,D,1-1,International Friendly
1982-06-13,Argentina v Belgium,L,0-1,FIFA World Cup
1986-06-25,Argentina v Belgium,W,2-0,FIFA World Cup
2014-07-05,Argentina v Belgium,W,1-0,FIFA World Cup
1926-10-16,Argentina v Bolivia,W,5-0,Copa America
1927-10-30,Argentina v Bolivia,W,7-1,Copa America
1945-01-18,Argentina v Bolivia,W,4-0,Copa America
1946-01-19,Argentina v Bolivia,W,7-1,Copa America
1947-12-04,Argentina v Bolivia,W,7-0,Copa America
1957-10-06,Bolivia v Argentina,L,2-0,FIFA World Cup
1957-10-27,Argentina v Bolivia,W,4-0,FIFA World Cup
1959-03-11,Argentina v Bolivia,W,2-0,Copa America
1963-03-28,Bolivia v Argentina,L,3-2,Copa America
1965-08-17,Argentina v Bolivia,W,4-1,FIFA World Cup
1965-08-29,Bolivia v Argentina,W,1-2,FIFA World Cup
1967-01-22,Argentina v Bolivia,W,1-0,Copa America
1969-07-27,Bolivia v Argentina,L,3-1,FIFA World Cup
1969-08-24,Argentina v Bolivia,W,1-0,FIFA World Cup
1973-09-09,Argentina v Bolivia,W,4-0,FIFA World Cup
1973-09-23,Bolivia v Argentina,W,0-1,FIFA World Cup
1975-06-20,Bolivia v Argentina,W,1-2,Copa Cornelio Saavedra
1975-06-27,Argentina v Bolivia,W,2-1,International Friendly
1979-07-18,Bolivia v Argentina,L,2-1,Copa America
1979-08-08,Argentina v Bolivia,W,3-0,Copa America
1989-07-10,Argentina v Bolivia,D,0-0,Copa America
1993-06-17,Argentina v Bolivia,W,1-0,Copa America
1995-07-08,Argentina v Bolivia,W,2-1,Copa America
1996-04-24,Argentina v Bolivia,W,3-1,FIFA World Cup
1997-04-02,Bolivia v Argentina,L,2-1,FIFA World Cup
2000-06-04,Argentina v Bolivia,W,1-0,FIFA World Cup
2001-04-25,Bolivia v Argentina,D,3-3,FIFA World Cup
2003-11-15,Argentina v Bolivia,W,3-0,FIFA World Cup
2005-03-26,Bolivia v Argentina,W,1-2,FIFA World Cup
2007-11-17,Argentina v Bolivia,W,3-0,FIFA World Cup
2009-04-01,Bolivia v Argentina,L,6-1,FIFA World Cup
2011-07-01,Argentina v Bolivia,D,1-1,Copa America
2011-11-11,Argentina v Bolivia,D,1-1,FIFA World Cup
2013-03-26,Bolivia v Argentina,D,1-1,FIFA World Cup
2015-06-06,Argentina v Bolivia,W,5-0,International Friendly
2015-09-04,Argentina v Bolivia,W,7-0,International Friendly
2016-03-29,Argentina v Bolivia,W,2-0,FIFA World Cup
2016-06-14,Bolivia v Argentina,W,0-3,Copa America
1998-05-14,Argentina v Bosnia and Herzegovina,W,5-0,International Friendly
2013-11-18,Argentina v Bosnia and Herzegovina,W,2-0,International Friendly
2014-06-15,Argentina v Bosnia and Herzegovina,W,2-1,FIFA World Cup
1912-08-22,Argentina v Brazil,W,4-0,Copa Premio Honor Argentino
1914-09-20,Argentina v Brazil,W,3-0,International Friendly
1914-09-27,Argentina v Brazil,L,0-1,Copa Julio Roca
1916-07-10,Argentina v Brazil,D,1-1,Copa America
1916-09-27,Argentina v Brazil,L,0-1,Copa Julio Roca
1917-10-03,Argentina v Brazil,W,4-2,Copa America
1919-05-18,Brazil v Argentina,L,3-1,Copa America
1919-06-01,Brazil v Argentina,D,3-3,Copa Roberto Cherry
1920-09-25,Brazil v Argentina,W,0-2,Copa America
1920-10-12,Argentina v Brazil,W,3-1,International Friendly
1921-10-02,Argentina v Brazil,W,1-0,Copa America
1922-10-15,Brazil v Argentina,L,2-0,Copa America
1922-10-22,Brazil v Argentina,L,2-1,Copa Julio Roca
1923-11-18,Argentina v Brazil,W,2-1,Copa America
1923-12-02,Argentina v Brazil,L,0-2,Copa Confraternidad
1923-12-09,Argentina v Brazil,W,2-0,Copa Julio Roca
1925-12-13,Argentina v Brazil,W,4-1,Copa America
1925-12-25,Argentina v Brazil,D,2-2,Copa America
1937-01-30,Argentina v Brazil,W,1-0,Copa America
1937-02-01,Argentina v Brazil,W,2-0,Copa America
1939-01-15,Brazil v Argentina,W,1-5,Copa Julio Roca
1939-01-22,Brazil v Argentina,L,3-2,Copa Julio Roca
1940-02-18,Brazil v Argentina,D,2-2,Copa Julio Roca
1940-02-25,Brazil v Argentina,W,0-3,Copa Julio Roca
1940-03-05,Argentina v Brazil,W,6-1,Copa Julio Roca
1940-03-10,Argentina v Brazil,L,2-3,Copa Julio Roca
1940-03-17,Argentina v Brazil,W,5-1,Copa Julio Roca
1942-01-17,Argentina v Brazil,W,2-1,Copa America
1945-02-15,Argentina v Brazil,W,3-1,Copa America
1945-12-16,Brazil v Argentina,W,3-4,Copa Julio Roca
1945-12-20,Brazil v Argentina,L,6-2,Copa Julio Roca
1945-12-23,Brazil v Argentina,L,3-1,Copa Julio Roca
1946-02-10,Argentina v Brazil,W,2-0,Copa America
1956-02-05,Brazil v Argentina,L,1-0,Copa America
1956-03-18,Brazil v Argentina,D,2-2,Panamerican Championship
1956-07-08,Argentina v Brazil,D,0-0,Copa del Atlantico
1956-12-05,Brazil v Argentina,W,1-2,International Friendly
1957-04-03,Argentina v Brazil,W,3-0,Copa America
1957-07-07,Brazil v Argentina,W,1-2,Copa Julio Roca
1957-07-10,Brazil v Argentina,L,2-0,Copa Julio Roca
1959-04-04,Argentina v Brazil,D,1-1,Copa America
1959-12-22,Argentina v Brazil,W,4-1,Copa America
1960-03-13,Argentina v Brazil,W,2-1,Panamerican Championship
1960-03-20,Brazil v Argentina,L,1-0,Panamerican Championship
1960-05-25,Argentina v Brazil,W,4-2,Copa Julio Roca
1960-05-29,Argentina v Brazil,L,1-4,Copa Julio Roca
1960-07-12,Brazil v Argentina,L,5-1,Copa del Atlantico
1962-02-03,Brazil v Argentina,D,0-0,SA NOVOS
1963-03-24,Argentina v Brazil,W,3-0,Copa America
1963-04-13,Brazil v Argentina,W,2-3,Copa Julio Roca
1963-04-16,Brazil v Argentina,L,5-2,Copa Julio Roca
1964-06-03,Brazil v Argentina,W,0-3,Copa das Nacoes
1964-09-07,Brazil v Argentina,L,3-0,International Friendly
1965-06-09,Brazil v Argentina,D,0-0,International Friendly
1968-08-07,Brazil v Argentina,L,4-1,International Friendly
1968-08-11,Brazil v Argentina,L,3-2,International Friendly
1970-03-04,Brazil v Argentina,W,0-2,International Friendly
1970-03-08,Brazil v Argentina,L,2-1,International Friendly
1971-07-28,Argentina v Brazil,D,1-1,Copa Julio Roca
1971-07-31,Argentina v Brazil,D,2-2,Copa Julio Roca
1974-06-30,Argentina v Brazil,L,1-2,FIFA World Cup
1975-08-06,Brazil v Argentina,L,2-1,Copa America
1975-08-16,Argentina v Brazil,L,0-1,Copa America
1976-02-27,Argentina v Brazil,L,1-2,Copa del Atlantico
1976-05-19,Brazil v Argentina,L,2-0,Copa del Atlantico
1978-06-18,Argentina v Brazil,D,0-0,FIFA World Cup
1979-08-02,Brazil v Argentina,L,2-1,Copa America
1979-08-23,Argentina v Brazil,D,2-2,Copa America
1981-01-04,Argentina v Brazil,D,1-1,Gold Cup
1982-07-02,Brazil v Argentina,L,3-1,FIFA World Cup
1983-08-24,Argentina v Brazil,W,1-0,Copa America
1983-09-14,Brazil v Argentina,D,0-0,Copa America
1984-06-17,Brazil v Argentina,D,0-0,International Friendly
1985-05-05,Brazil v Argentina,L,2-1,International Friendly
1989-07-12,Brazil v Argentina,L,2-0,Copa America
1990-06-24,Brazil v Argentina,W,0-1,FIFA World Cup
1991-03-27,Argentina v Brazil,D,3-3,International Friendly
1991-06-27,Brazil v Argentina,D,1-1,International Friendly
1991-07-17,Brazil v Argentina,W,2-3,Copa America
1993-02-18,Argentina v Brazil,D,1-1,International Friendly
1993-06-27,Brazil v Argentina,W,1-1,Copa America
1994-03-24,Brazil v Argentina,L,2-0,International Friendly
1995-07-17,Brazil v Argentina,D,2-2,Copa America
1995-11-08,Argentina v Brazil,L,0-1,International Friendly
1998-04-29,Brazil v Argentina,W,0-1,International Friendly
1999-07-11,Brazil v Argentina,L,2-1,Copa America
1999-09-04,Argentina v Brazil,W,2-0,International Friendly
1999-09-07,Brazil v Argentina,L,4-2,International Friendly
2000-07-26,Brazil v Argentina,L,3-1,FIFA World Cup
2001-09-05,Argentina v Brazil,W,2-1,FIFA World Cup
2004-06-02,Brazil v Argentina,L,3-1,FIFA World Cup
2004-07-25,Argentina v Brazil,L,2-2,Copa America
2005-06-08,Argentina v Brazil,W,3-1,FIFA World Cup
2005-06-29,Brazil v Argentina,L,4-1,FIFA Confederations Cup
2006-09-03,Brazil v Argentina,L,3-0,International Friendly
2007-07-15,Argentina v Brazil,L,0-3,Copa America
2008-06-18,Brazil v Argentina,D,0-0,FIFA World Cup
2009-09-05,Argentina v Brazil,L,1-3,FIFA World Cup
2010-11-17,Argentina v Brazil,W,1-0,International Friendly
2011-09-14,Argentina v Brazil,D,0-0,Superclasico de las Americas
2011-09-28,Brazil v Argentina,L,2-0,Superclasico de las Americas
2012-06-09,Argentina v Brazil,W,4-3,International Friendly
2012-09-20,Brazil v Argentina,L,2-1,Superclasico de las Americas
2012-11-21,Argentina v Brazil,W,2-1,Superclasico de las Americas
2014-10-11,Brazil v Argentina,L,2-0,International Friendly
2015-11-13,Argentina v Brazil,D,1-1,FIFA World Cup
1962-05-30,Argentina v Bulgaria,W,1-0,FIFA World Cup
1978-03-29,Argentina v Bulgaria,W,3-1,International Friendly
1979-04-25,Argentina v Bulgaria,W,2-1,International Friendly
1980-10-09,Argentina v Bulgaria,W,2-0,International Friendly
1982-05-05,Argentina v Bulgaria,W,2-1,International Friendly
1986-06-10,Argentina v Bulgaria,W,2-0,FIFA World Cup
1994-06-30,Argentina v Bulgaria,L,0-2,FIFA World Cup
1995-02-14,Argentina v Bulgaria,W,4-1,International Friendly
